Arabic,English
مع ,with
الذي ,that
لكن ,but
لك ,for you
يجب ,He should
لن ,won't
كيف ,how
حسنا ,Good
انا ,I
لي ,for me
إنه ,that it
سوف ,will
نحن ,we
إذا ,if
كانت ,She was
عندما ,when
أي ,any
قد ,may be
هي ,she
الأمر ,Order
أنه ,that it
فى ,in
حتى ,until
بعد ,after
كذلك ,like that
أو ,or
ولكن ,But
قبل ,before
انه ,that it
إنها ,that it
ـ ,-
لو ,if
ربما ,maybe
أين ,where
هيا ,Let's go
تلك ,That
أعرف ,I know
إن ,that
يكون ,He is
بعض ,some
أريد ,I want
أعتقد ,I believe
انت ,You
عليك ,upon you
مثل ,like
صحيح ,correct
به ,with it
أنك ,You are
الوقت ,the time
بخير ,fine
أعلم ,Know
أحد ,One
شخص ,person
جداً ,very
رجل ,man
شكراً ,Thanks
لذا ,So
يمكن ,maybe
أكثر ,more
يبدو ,It seems
جيد ,good
تكون ,Formation
علي ,on
اليوم ,today
يمكنك ,You could
انها ,that it
أليس ,Alice
مرحباً ,Welcome
لدي ,I have
عليه ,on him
آخر ,last
